RecID,ProductGroupRecID,Code,Name,NameAR,Remarks,StatusRecID,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate
1,1,1,Prepared Foods,???? ????,,1,Admin,NULL,,NULL
2,1,2,Fruit,?????,,1,Admin,NULL,,NULL
3,1,3,Vegetables,??????,,1,Admin,NULL,,NULL
4,1,4,Meat,???,,1,Admin,NULL,,NULL
5,1,5,Poultry,?????,,1,Admin,NULL,,NULL
6,1,6,Seafood,??????? ????? ,,1,Admin,NULL,,NULL
7,1,7,"Dairy, Egg and Cheese",???? ???? ????,,1,Admin,NULL,,NULL
8,1,8,Deli,??????? ???????,,1,Admin,NULL,,NULL
9,1,9,Bakery & Bread,????? ???????,,1,Admin,NULL,,NULL
10,1,10,Platters,????? ,,1,Admin,NULL,,NULL
11,1,11,Pantry,???? ???????,,1,Admin,NULL,,NULL
12,1,12,Beverages,???????,,1,Admin,NULL,,NULL
13,1,13,Frozen,????,,1,Admin,NULL,,NULL
14,2,14,Household,??????? ????????,,1,Admin,NULL,,NULL
15,3,15,Baby,???,,1,Admin,NULL,,NULL
16,2,16,Health & Beauty,????? ???????,,1,Admin,NULL,,NULL
17,2,17,Pet,????? ????,,1,Admin,NULL,,NULL
18,4,18,delete,delete,,1,1,45:28.0,,NULL
